{'url': 'https://node.deviceproof.org:443', 'duration': '2'}
{'url': 'http://node10.puyuma.org:14265', 'duration': '3'}
{'url': 'http://89.163.242.213:14265', 'duration': '5'}
{'url': 'http://node05.iotatoken.nl:14265', 'duration': '5'}
{'url': 'https://www.iotaqubic.us:443', 'duration': '5'}
{'url': 'http://174.141.204.79:14265', 'duration': '5'}
{'url': 'http://node04.iotatoken.nl:14265', 'duration': '5'}
{'url': 'https://pow.iota.community:443', 'duration': '6'}
{'url': 'http://node01.iotatoken.nl:14265', 'duration': '6'}
{'url': 'https://nodes.thetangle.org:443', 'duration': '6'}
{'url': 'http://speedynode.ddns.net:14265', 'duration': '6'}
{'url': 'http://31.214.240.100:14265', 'duration': '6'}
{'url': 'https://trinity.iota-tangle.io:14265', 'duration': '6'}
{'url': 'http://5.189.135.61:14265', 'duration': '6'}
{'url': 'http://85.214.148.21:14265', 'duration': '6'}
{'url': 'http://185.244.195.45:14265', 'duration': '7'}
{'url': 'https://nodes.iota.cafe:443', 'duration': '7'}
{'url': 'https://django.zapto.org:14267', 'duration': '7'}
{'url': 'http://node03.iotatoken.nl:14265', 'duration': '7'}
{'url': 'http://60.126.208.96:14265', 'duration': '7'}
{'url': 'http://me2byme2.com:14265', 'duration': '7'}
{'url': 'http://167.86.121.248:14265', 'duration': '8'}
{'url': 'https://papa.iota.family:14267', 'duration': '8'}
{'url': 'https://iota.chain.garden:443', 'duration': '8'}
{'url': 'http://iota-fn01.sairai.de:14265', 'duration': '8'}
{'url': 'http://5.189.153.113:14265', 'duration': '8'}
{'url': 'http://173.249.17.230:14265', 'duration': '8'}
{'url': 'http://207.180.224.65:14265', 'duration': '9'}
{'url': 'http://195.201.114.197:14265', 'duration': '9'}
{'url': 'http://193.164.132.144:14265', 'duration': '9'}
{'url': 'http://iotawallet.tobg.com.de:14265', 'duration': '10'}
{'url': 'http://173.249.43.185:14265', 'duration': '10'}
{'url': 'https://iotanode.world:14267', 'duration': '10'}
{'url': 'http://159.69.116.60:14265', 'duration': '10'}
{'url': 'https://stirrlink.dyndns.org:14267', 'duration': '10'}
{'url': 'https://contabo02.pinter-net.at:14267', 'duration': '11'}
{'url': 'http://node02.iotatoken.nl:14265', 'duration': '11'}
{'url': 'http://207.180.252.59:14265', 'duration': '11'}
{'url': 'http://207.180.202.219:14265', 'duration': '11'}
{'url': 'http://117.102.178.102:14265', 'duration': '11'}
{'url': 'http://117.102.178.100:14265', 'duration': '11'}
{'url': 'https://v22017125353157610.bestsrv.de:14267', 'duration': '11'}
{'url': 'http://node1.puyuma.org:14265', 'duration': '11'}
{'url': 'http://78.46.254.167:14265', 'duration': '12'}
{'url': 'http://173.249.23.161:14265', 'duration': '12'}
{'url': 'https://nodes.tangled.it:443', 'duration': '12'}
{'url': 'https://iota1.chain.garden:443', 'duration': '12'}
{'url': 'https://wallet1.iota.town:443', 'duration': '13'}
{'url': 'https://node00.gubiota.ch:443', 'duration': '13'}
{'url': 'http://213.136.79.161:14265', 'duration': '13'}
{'url': 'http://iota.antonionardella.eu:14265', 'duration': '14'}
{'url': 'http://131.112.180.45:14265', 'duration': '14'}
{'url': 'http://173.249.16.242:14265', 'duration': '14'}
{'url': 'https://perma.iota.partners:443', 'duration': '15'}
{'url': 'https://hanspetzersnode.org:14267', 'duration': '15'}
{'url': 'https://node02.gubiota.ch:443', 'duration': '15'}
{'url': 'http://node06.iotatoken.nl:14265', 'duration': '15'}
{'url': 'http://167.86.108.113:14265', 'duration': '15'}
{'url': 'http://85.214.106.245:14265', 'duration': '15'}
{'url': 'http://116.202.20.58:14265', 'duration': '16'}
{'url': 'http://144.76.186.185:14265', 'duration': '17'}
{'url': 'http://94.16.112.202:14265', 'duration': '18'}
{'url': 'https://node.vanityfive.de:443', 'duration': '18'}
{'url': 'http://173.249.42.88:14265', 'duration': '19'}
{'url': 'https://nod3.theshock.de:443', 'duration': '20'}
{'url': 'https://node-iota.org:14267', 'duration': '23'}
{'url': 'http://173.212.200.186:14265', 'duration': '24'}
{'url': 'http://mandelhost.de:14265', 'duration': '25'}
{'url': 'http://173.249.50.233:14265', 'duration': '26'}
{'url': 'http://5.189.141.225:14265', 'duration': '26'}
{'url': 'http://185.228.137.166:14265', 'duration': '29'}
{'url': 'http://167.86.119.89:14265', 'duration': '35'}
{'url': 'http://185.244.194.231:14265', 'duration': '47'}
{'url': 'https://node01.gubiota.ch:443', 'duration': '48'}
{'url': 'https://ultranode.iotatoken.nl:443', 'duration': '49'}
{'url': 'http://173.249.17.151:14265', 'duration': '67'}
{'url': 'https://wallet2.iota.town:443', 'duration': '81'}
